,Discharge
2020-01-05,26.023765840279577
2020-01-15,0.4743710419046434
2020-01-25,0.007909086713892467
2020-02-05,0.00010560610527937873
2020-02-15,1.9250280109472483e-06
2020-02-25,42.91409656651288
2020-03-05,2.17458700567514
2020-03-15,0.03963919403231661
2020-03-25,0.0006608957865801207
2020-04-05,8.82461307367921e-06
2020-04-15,1.608583832124418e-07
2020-04-25,2.932187420987133e-09
2020-05-05,5.344902081006478e-11
2020-05-15,5.795554713946048
2020-05-25,44.80155816944788
2020-06-05,11.601975935990207
2020-06-15,25.710794209209183
2020-06-25,136.70588581066286
2020-07-05,328.572135206436
2020-07-15,43.66716016945413
2020-07-25,97.44503570148665
2020-08-05,3.6572434740926894
2020-08-15,6.565215617323635
2020-08-25,30.846356679175013
2020-09-05,4.834637558205906
2020-09-15,1.3189458244178414
2020-09-25,40.58578470971298
2020-10-05,35.421675066615634
2020-10-15,344.8813206967242
2020-10-25,9.43659088445579
2020-11-05,0.13027630599378356
2020-11-15,0.002374725756028219
2020-11-25,93.01747669218808
2020-12-05,6.828457789025632
2020-12-15,4.726494579916587
2020-12-25,0.07880383114283251
2021-01-05,0.0010522284037511316
2021-01-15,1.918041713380717e-05
2021-01-25,3.197909841014366e-07
2021-02-05,35.01740130711502
2021-02-15,37.37774388454723
2021-02-25,1.4358931254339022
2021-03-05,0.047733617534668094
2021-03-15,0.0008701064259020785
2021-03-25,1.4507097956788716e-05
2021-04-05,1.9370607119932495e-07
2021-04-15,3.530947495533247e-09
2021-04-25,6.436344580745362e-11
2021-05-05,1.1732412224904502e-12
2021-05-15,2.1386284542141162e-14
2021-05-25,3.5656893863637986e-16
2021-06-05,4.793925684879764
2021-06-15,6.7436973199482395
2021-06-25,19.8763801833421
2021-07-05,5.491891060885791
2021-07-15,25.336878456130158
2021-07-25,74.3517091409313
2021-08-05,46.707969600887495
2021-08-15,426.06931361640045
2021-08-25,64.41065169215436
2021-09-05,26.530794295809216
2021-09-15,119.39288216811738
2021-09-25,37.54083423598982
2021-10-05,8.065566506593282
2021-10-15,32.64669142265375
2021-10-25,18.08536590400905
2021-11-05,56.22566932487145
2021-11-15,23.640323390113807
2021-11-25,0.430924751873287
2021-12-05,4.608144362240682
2021-12-15,0.1913033471277369
2021-12-25,0.0031895597062927107
2022-01-05,4.258860603284971e-05
2022-01-15,7.763212111983962e-07
2022-01-25,1.2943437172196498e-08
2022-02-05,1.72827285643867e-10
2022-02-15,3.1503610992970675e-12
2022-02-25,7.014626506960835e-14
2022-03-05,2.331883152728601e-15
2022-03-15,64.54612559828962
2022-03-25,2.864522759387174
2022-04-05,0.03824854917466661
2022-04-15,0.0006972090140483936
2022-04-25,1.2708989484816712e-05
2022-05-05,48.80897439098802
2022-05-15,16.45266203034381
2022-05-25,146.81596329748086
2022-06-05,39.29083178236268
2022-06-15,511.8545822699044
2022-06-25,17.672620058186144
2022-07-05,767.8585759906991
2022-07-15,325.467213799572
2022-07-25,310.3644381388252
2022-08-05,112.0561518003645
2022-08-15,156.49487688568612
2022-08-25,3.3830872148883575
2022-09-05,0.045172682701437566
2022-09-15,0.0008234247376120177
2022-09-25,487.7027868638171
2022-10-05,22.813779380846974
2022-10-15,0.4158581952011133
2022-10-25,81.97506401206194
2022-11-05,0.9909387572099362
2022-11-15,0.018063206286378107
2022-11-25,0.00032926295290227036
2022-12-05,6.001929581886044e-06
2022-12-15,1.0940544142119423e-07
2022-12-25,1.8240934769071484e-09
2023-01-05,2.435621390056533e-11
2023-01-15,4.4397427473699607e-13
2023-01-25,7.402287929578706e-15
2023-02-05,9.88390729142272e-17
2023-02-15,1.801675986749013e-18
2023-02-25,4.011630329115085e-20
2023-03-05,1.3335924828151073e-21
2023-03-15,2.4309227935414223e-23
2023-03-25,103.1840850702482
2023-04-05,82.69493831370269
2023-04-15,86.10360482184934
2023-04-25,9.597277543518764
2023-05-05,36.90850118214723
2023-05-15,49.6824262062122
2023-05-25,0.9960431808523964
2023-06-05,358.8834221262067
2023-06-15,97.35568843581979
2023-06-25,31.371504420263562
2023-07-05,57.08023255426254
2023-07-15,85.84987046631126
2023-07-25,114.11763093942062
2023-08-05,1.5237560268561743
2023-08-15,0.02777560090667023
2023-08-25,0.0004630966410160517
2023-09-05,6.18349935900484e-06
2023-09-15,60.96369178767221
2023-09-25,87.45609392685839
2023-10-05,106.57539601109912
2023-10-15,27.955406736706074
2023-10-25,313.5426143387331
2023-11-05,50.42337577138518
2023-11-15,0.9191363558920023
2023-11-25,0.01675436497057883
2023-12-05,82.57647269559065
2023-12-15,2.237824550466215
2023-12-25,8.755878356785606
2024-01-05,0.11691289336048447
2024-01-15,16.819912434019724
2024-01-25,0.9743870558292872
2024-02-05,0.8493797349289552
2024-02-15,7.0936210094934555
2024-02-25,32.80122547476686
2024-03-05,31.63066724486623
2024-03-15,6.05626369473111
2024-03-25,0.10097478659638698
2024-04-05,14.036010472392373
2024-04-15,30.02226634957612
2024-04-25,5.245327190860907
2024-05-05,35.77223768054033
2024-05-15,92.54280670852964
2024-05-25,8.878052256489982
2024-06-05,44.17295019868685
2024-06-15,105.11722073218041
2024-06-25,1785.7334355640924
2024-07-05,39.3171473750713
2024-07-15,205.14952714235022
2024-07-25,25.24268195847715
2024-08-05,8.727974292322296
2024-08-15,349.0675021101624
2024-08-25,433.2185218897382
2024-09-05,234.61684474270493
2024-09-15,50.15688045857045
2024-09-25,0.914278578582657
2024-10-05,89.18552477270622
2024-10-15,231.46026926529785
2024-10-25,126.86228977414503
2024-11-05,8.813447833110363
