Year,ShiMen Reservoir,ZhongZhuang Adjustment Reservoir,ShiMen WPP Storage Pool
2030,6023065.223842805,5050000.0,500000.0
2031,57412956.098107256,5050000.0,500000.0
2032,202278000.0,5050000.0,500000.0
2033,176767468.2452005,5050000.0,500000.0
2034,140513151.09780198,5050000.0,500000.0
2035,138752681.51083592,5050000.0,500000.0
2036,51686073.89087491,5050000.0,500000.0
2037,120113610.64341587,5050000.0,500000.0
2038,70877790.53454618,5050000.0,500000.0
2039,152953622.15864924,5050000.0,500000.0
