Year,ShiMen Reservoir,ZhongZhuang Adjustment Reservoir,ShiMen WPP Storage Pool
2050,87748125.21766129,5050000.0,500000.0
2051,202278000.00000003,5050000.0,500000.0
2052,183382476.5539066,5050000.0,500000.0
2053,129868911.67826466,5050000.0,500000.0
2054,190922633.91145998,5050000.0,500000.0
2055,61122132.266078025,5050000.0,500000.0
2056,202278000.0,5050000.0,500000.0
2057,202278000.0,5050000.0,500000.0
2058,187293858.21378517,5050000.0,500000.0
2059,202278000.0,5050000.0,500000.0
