Year,ShiMen Reservoir,ZhongZhuang Adjustment Reservoir,ShiMen WPP Storage Pool
2040,26627009.816250645,5050000.0,500000.0
2041,202278000.0,5050000.0,500000.0
2042,202278000.0,5050000.0,500000.0
2043,105468239.12303694,5050000.0,500000.0
2044,202278000.0,5050000.0,500000.0
2045,96924460.03791666,5050000.0,500000.0
2046,194631380.3048033,5050000.0,500000.0
2047,202278000.0,5050000.0,500000.0
2048,-1542.5006249999974,5050000.0,500000.0
2049,202278000.0,5050000.0,500000.0
