Year,ShiMen Reservoir,ZhongZhuang Adjustment Reservoir,ShiMen WPP Storage Pool
2030,202278000.0,5050000.0,500000.0
2031,51882256.00200985,5050000.0,500000.0
2032,142693172.5617428,5050000.0,500000.0
2033,73137169.79489866,5050000.0,500000.0
2034,172433955.25222838,5050000.0,500000.0
2035,202278000.0,5050000.0,500000.0
2036,202278000.0,5050000.0,500000.0
2037,202278000.0,5050000.0,500000.0
2038,111462059.72749962,5050000.0,500000.0
2039,202278000.0,5050000.0,500000.0
