,PP01,P_Occurrence,TX01
2001-01-01,4.4890476194397415,1,15.621562363627605
2001-01-02,0.0,0,17.338376215408225
2001-01-03,0.0,0,19.645870587694873
2001-01-04,0.0,0,21.4655107450359
2001-01-05,0.0,0,18.513428754373464
2001-01-06,0.0,0,17.719040274529114
2001-01-07,0.0,0,15.788476320540866
2001-01-08,0.0,0,18.830196920332902
2001-01-09,0.0,0,15.998330750777068
2001-01-10,0.0,0,18.32561089701084
2001-01-11,0.0,0,21.029531456246456
2001-01-12,0.0,0,15.888473354785816
2001-01-13,0.0,0,16.04316984263899
2001-01-14,0.0,0,13.928575135478601
2001-01-15,1.477234258265292,1,14.152619855244406
2001-01-16,2.348402808819533,1,15.24647387273922
2001-01-17,0.0,0,18.836906512121498
2001-01-18,0.0,0,19.229741433282886
2001-01-19,0.0,0,19.997746730497642
2001-01-20,0.0,0,18.367617700171976
2001-01-21,0.0,0,19.06637582345855
2001-01-22,0.0,0,20.717716179354547
2001-01-23,0.05958292891087139,1,14.353725850961997
2001-01-24,0.7979987920467134,1,13.036397602282317
2001-01-25,1.8221872599106372,1,12.90405761512727
2001-01-26,1.1990678649221835,1,13.25727312670728
2001-01-27,0.3151256969122647,1,15.133913210533152
2001-01-28,0.0,0,16.733853026493044
2001-01-29,0.0,0,18.971344017442483
2001-01-30,0.386883082826381,1,11.365581829500087
2001-01-31,0.24777218878439844,1,6.794315280625323
2001-02-01,25.264974317382535,1,11.846757727158487
2001-02-02,0.0,0,14.81824847071968
2001-02-03,0.0,0,16.588911751295008
2001-02-04,65.89225309703261,1,13.636702796285004
2001-02-05,0.0,0,16.624046217454424
2001-02-06,0.0,0,16.32425635404333
2001-02-07,72.44981757045086,1,12.056191618048715
2001-02-08,17.927576205900504,1,14.574874598463058
2001-02-09,0.0,0,16.81011616475655
2001-02-10,8.31313544574953,1,13.581071425557496
2001-02-11,0.0,0,17.336369670896598
2001-02-12,0.0,0,16.00292742981812
2001-02-13,0.0,0,17.982449073170898
2001-02-14,0.0,0,18.968884134612953
2001-02-15,0.0,0,18.56432682118134
2001-02-16,4.384104480868177,1,18.92794316562913
2001-02-17,0.0,0,19.95645502854611
2001-02-18,22.927391053307208,1,18.131679248746057
2001-02-19,1.7580908636504853,1,19.34164762329017
2001-02-20,5.284771022349858,1,18.369367475702866
2001-02-21,3.967779313108254,1,16.595305517302833
2001-02-22,0.0,0,21.10437206028926
2001-02-23,0.0,0,18.27558641207444
2001-02-24,0.0,0,17.394035765282982
2001-02-25,0.0,0,18.810166478850014
2001-02-26,0.0,0,16.598868524234984
2001-02-27,0.0,0,17.955084740317975
2001-02-28,0.0,0,16.68590804380291
2001-03-01,0.0,0,16.562073896178926
2001-03-02,1.5008952927453976,1,15.517184555983226
2001-03-03,57.466202769953384,1,17.422913306583794
2001-03-04,5.809240573299419,1,19.45560690214517
2001-03-05,4.845258847553805,1,20.088140275686563
2001-03-06,0.0,0,23.573471155068262
2001-03-07,0.0,0,21.757333486935558
2001-03-08,1.0532353859957828,1,16.78649420496922
2001-03-09,0.0,0,19.49966106763727
2001-03-10,0.0,0,20.3203359327714
2001-03-11,16.718936267669605,1,17.99503125027405
2001-03-12,16.90729126034325,1,17.885948036866168
2001-03-13,29.84618857744455,1,18.486389335675593
2001-03-14,3.2843003771356054,1,18.709615072622658
2001-03-15,24.168234081210855,1,18.160808281538067
2001-03-16,25.79471139895512,1,17.3624955547627
2001-03-17,0.0,0,20.758890455385355
2001-03-18,2.95701746601526,1,17.981308787961204
2001-03-19,3.294980795691122,1,19.31460372730573
2001-03-20,4.045408361893559,1,20.764938315836197
2001-03-21,6.0702585661181825,1,20.115282672771336
2001-03-22,13.037130675638227,1,19.50027444150094
2001-03-23,20.62815707192854,1,21.10163183716589
2001-03-24,17.357316722565148,1,20.61752712134497
2001-03-25,0.0,0,23.83356517969071
2001-03-26,0.0,0,23.761758620916908
2001-03-27,5.388649388545281,1,20.827319485066802
2001-03-28,0.0,0,23.781566629489205
2001-03-29,0.0,0,21.83794046924425
2001-03-30,0.0,0,22.17248191829184
2001-03-31,1.3267948753747454,1,18.901621887514942
2001-04-01,7.488466067288748,1,20.653008800070737
2001-04-02,0.0,0,22.776166704792534
2001-04-03,42.75779287751037,1,19.79547067032796
2001-04-04,21.51639841509879,1,20.92917024499237
2001-04-05,5.714835687295544,1,21.817013070865162
2001-04-06,0.0,0,22.488121595797374
2001-04-07,0.0,0,22.696544534011796
2001-04-08,8.431227525160805,1,18.845257148496
2001-04-09,17.851852885371805,1,19.161635036180623
2001-04-10,5.369343426993563,1,18.04328373379208
2001-04-11,0.0,0,20.84777339978634
2001-04-12,19.780384156120736,1,19.16706983112944
2001-04-13,0.0,0,21.410310598278915
2001-04-14,0.0,0,22.187453259820145
2001-04-15,0.0,0,21.530759281975264
2001-04-16,14.85472783343507,1,19.494384265844186
2001-04-17,18.33494216625122,1,20.223975906247276
2001-04-18,22.981406014660624,1,20.63567301520282
2001-04-19,12.361816787726333,1,20.623865635763092
2001-04-20,0.0,0,23.900657996037857
2001-04-21,0.0,0,23.96761134560722
2001-04-22,0.0,0,24.937713797965543
2001-04-23,0.0,0,24.230878007082094
2001-04-24,0.0,0,24.659344670538573
2001-04-25,0.0,0,26.4634474865086
2001-04-26,0.0,0,26.961369499182148
2001-04-27,0.0,0,26.70619803184801
2001-04-28,0.0,0,26.89113893897571
2001-04-29,0.0,0,26.457690252346733
2001-04-30,15.086896550247035,1,23.902607486373114
2001-05-01,1.8651615619280055,1,24.063908108125798
2001-05-02,0.0,0,25.36777548382207
2001-05-03,4.50249108504431,1,24.816464377021475
2001-05-04,1.6973628783394532,1,24.997928632999816
2001-05-05,15.609248766541054,1,26.856900092743896
2001-05-06,14.530379663073523,1,27.31537923258728
2001-05-07,0.0,0,28.63534989633483
2001-05-08,0.0,0,27.723235615708326
2001-05-09,0.0,0,25.173802910629906
2001-05-10,0.0,0,24.659822968071353
2001-05-11,0.0,0,25.44444453746093
2001-05-12,0.06331858440457275,1,23.45955987404011
2001-05-13,0.0,0,25.991777187593204
2001-05-14,0.0,0,27.537360255081314
2001-05-15,0.0,0,28.588609661763606
2001-05-16,0.0,0,28.78032256771794
2001-05-17,0.0,0,28.593197455996076
2001-05-18,0.0,0,27.895215396221978
2001-05-19,0.0,0,25.895200243140323
2001-05-20,6.889583852806496,1,22.430941936268077
2001-05-21,0.0,0,26.619959871978544
2001-05-22,0.0,0,28.0455794095589
2001-05-23,0.0,0,29.56399757993139
2001-05-24,12.307041305025017,1,25.334205432771785
2001-05-25,0.0,0,28.916034633543962
2001-05-26,0.0,0,27.78863750675107
2001-05-27,0.0,0,27.615293935398753
2001-05-28,1.9352650970127139,1,28.459698164238684
2001-05-29,21.481291548028786,1,26.559351993229004
2001-05-30,0.5592701866112992,1,26.313444723604373
2001-05-31,1.8274167105123829,1,26.061570903694836
2001-06-01,12.296052383514008,1,29.42710573413906
2001-06-02,50.758243366802326,1,27.757772303906098
2001-06-03,35.901041385744065,1,25.351819076482354
2001-06-04,2.79878135981374,1,23.916611590746538
2001-06-05,14.074992947093515,1,24.183767044396433
2001-06-06,1.9646319737239017,1,29.899819713399157
2001-06-07,10.53823601760546,1,29.95626032871079
2001-06-08,48.32768595408904,1,31.50692801254842
2001-06-09,9.085996767108925,1,32.73979157824992
2001-06-10,1.911525273675748,1,32.265864357457566
2001-06-11,5.708968087795929,1,31.348784030209515
2001-06-12,0.0,0,29.49928393077081
2001-06-13,104.04167303015213,1,25.629712264124805
2001-06-14,0.0,0,30.564068182915836
2001-06-15,0.0,0,29.50928996423496
2001-06-16,22.839004490764015,1,28.804642835801285
2001-06-17,0.0,0,30.491596569687783
2001-06-18,0.0,0,28.962531237224237
2001-06-19,0.0,0,29.006756773525364
2001-06-20,51.858200336796976,1,29.516839738126407
2001-06-21,7.792604486380579,1,31.621515471019308
2001-06-22,1.6809302955437826,1,29.25117648394784
2001-06-23,0.0,0,30.985109321807375
2001-06-24,0.0,0,31.47746960762798
2001-06-25,0.0,0,30.189865281137873
2001-06-26,0.0,0,29.173617901897938
2001-06-27,0.0,0,28.791943783817807
2001-06-28,8.493320677194404,1,29.963014489832904
2001-06-29,0.4674733991618533,1,27.291790491223036
2001-06-30,0.0,0,28.86611477462704
2001-07-01,2.3799845313674735,1,26.786882463854987
2001-07-02,0.0,0,29.202540281175597
2001-07-03,0.0,0,29.939595565766517
2001-07-04,0.0,0,29.837835664309164
2001-07-05,7.118684745571532,1,28.020622151471105
2001-07-06,0.0,0,30.105708175933565
2001-07-07,0.0,0,30.521649944099185
2001-07-08,0.0,0,30.101738728770503
2001-07-09,0.0,0,30.376476114628662
2001-07-10,0.0,0,31.735444275132874
2001-07-11,0.0,0,30.118540324172834
2001-07-12,0.0,0,30.591652777998643
2001-07-13,0.0,0,30.288290129245325
2001-07-14,0.0,0,30.990023725978755
2001-07-15,11.07965456957706,1,28.624009060065163
2001-07-16,2.69494284497547,1,28.472192254955498
2001-07-17,3.587134013682431,1,29.122220909271103
2001-07-18,51.7455471972378,1,29.0781804916828
2001-07-19,23.700531715715893,1,29.626796399040725
2001-07-20,6.831282408165366,1,29.568041464864294
2001-07-21,20.525743699116916,1,30.04226333329365
2001-07-22,8.4283356958718,1,29.460652643165993
2001-07-23,0.0,0,31.57007742897051
2001-07-24,0.0,0,31.024309200207192
2001-07-25,0.0,0,30.870161001884064
2001-07-26,8.099844839168105,1,28.904114043808892
2001-07-27,0.0,0,31.628402630590728
2001-07-28,0.0,0,31.390473121509967
2001-07-29,10.16524471044029,1,30.019392152298707
2001-07-30,0.0,0,31.881428937225955
2001-07-31,48.8257790941784,1,29.860794699064453
2001-08-01,10.439927728590709,1,28.899953034443552
2001-08-02,6.4192698776415265,1,30.110402570015196
2001-08-03,17.58691413452582,1,30.78552881887641
2001-08-04,8.88750540709621,1,31.484911984721656
2001-08-05,0.7588205584172589,1,30.135709987214817
2001-08-06,1.4613695227364127,1,29.01622689640008
2001-08-07,0.2334995911599452,1,29.088319566696317
2001-08-08,0.0,0,30.54070720791887
2001-08-09,0.0,0,31.543403671475822
2001-08-10,0.0,0,30.36250432250791
2001-08-11,0.0,0,30.45528448466054
2001-08-12,45.6906243371597,1,29.74783664861288
2001-08-13,11.711471543894328,1,29.50962897716455
2001-08-14,0.0,0,31.81697290666299
2001-08-15,0.0,0,31.972952306761375
2001-08-16,0.0,0,31.190403707482762
2001-08-17,0.0,0,31.946905307972226
2001-08-18,11.602977204377614,1,31.13443145113065
2001-08-19,2.469366407928095,1,30.506348725894323
2001-08-20,77.5933161169709,1,30.641341530607402
2001-08-21,3.188009088289549,1,29.735663317435662
2001-08-22,0.0,0,31.28322059368675
2001-08-23,0.0,0,30.167618512837578
2001-08-24,0.0,0,31.26177420570454
2001-08-25,0.0,0,32.302973136609005
2001-08-26,0.0,0,31.971578217970276
2001-08-27,0.0,0,31.715858095238165
2001-08-28,14.562235599911908,1,28.84050487039902
2001-08-29,0.0031568576181289793,1,28.80067383205298
2001-08-30,10.679440038083305,1,28.68496747179861
2001-08-31,0.0,0,29.600839572610823
2001-09-01,45.29895645548003,1,29.125001919339724
2001-09-02,0.0,0,30.959357881949785
2001-09-03,0.0,0,30.28829538983257
2001-09-04,0.0,0,29.645493044471156
2001-09-05,0.0,0,29.90454952202982
2001-09-06,44.373742597970214,1,27.834593316038983
