T_avg_delta,T_std_ratio,P_avg_ratio,P_std_ratio,Pw_ratio,Pwd_ratio,Pww_ratio
-0.36040167557565717,0.7369985890823343,0.5912592375476351,0.5165907468333355,1,1,1
0.6471886885793587,0.7696989977378385,0.9927279128085006,1.1086804301341098,1,1,1
0.9149561831825643,1.0919711077127925,1.0110995679025228,1.1356194621052023,1,1,1
0.5833785207647999,0.6898212807677311,1.2580063980906107,0.9099809303387301,1,1,1
1.0242645263671868,0.7677385812579276,1.036816216597738,1.1146990531556038,1,1,1
0.35387926603618425,1.072171629837047,0.9301252683598885,1.3114437830364238,1,1,1
0.9777586284436701,1.0174352318346984,0.77082647591005,0.742219723092196,1,1,1
0.867909321032073,1.1643984002982555,1.061715284873034,0.9559575748357859,1,1,1
0.9023882414165314,0.4444010248220919,0.8727649842439876,0.5253921782837244,1,1,1
0.6281065288342944,0.9392299828350664,0.9745465896616319,0.9031030270387517,1,1,1
0.7968387001439154,1.1555547141336038,1.7390649549060595,1.2602301624028367,1,1,1
0.30503636410362134,1.1337054125271124,1.7593795793768143,1.7978636845598102,1,1,1
