T_avg_delta,T_std_ratio,P_avg_ratio,P_std_ratio,Pw_ratio,Pwd_ratio,Pww_ratio
0.8118032355057565,1.2268844876997662,0.6614768131886426,0.8877210020737958,1,1,1
0.5503005178351152,0.897314624597592,0.9248717696337139,0.5667717402366622,1,1,1
0.7664308246813327,0.5408953582736362,0.8082845988230648,0.8632592692080165,1,1,1
0.2705863551089642,0.5128927210126704,1.59898148206554,0.8899621461006062,1,1,1
0.9840937564247518,0.5954697609096562,0.9548221663851616,1.0417924401244623,1,1,1
0.23260530170641758,1.309385821678773,1.12007166351727,1.255322253223124,1,1,1
0.6276166413959707,0.7827125123724208,1.3080708554068885,1.3265086786050229,1,1,1
0.7864359002364338,0.8858367855606433,0.742485149259596,0.8118938377601318,1,1,1
1.1206388774671048,0.9090768742556968,1.9246975202462946,1.4124887664875885,1,1,1
0.6441113923725332,0.6907345870286504,1.0279734424190554,1.057667805410618,1,1,1
0.544046341745478,0.7914349979345755,0.747486447146251,1.0935490251997788,1,1,1
0.797556184467517,0.6849119722048068,0.8503567315488165,0.975894131861085,1,1,1
