T_avg_delta,T_std_ratio,P_avg_ratio,P_std_ratio,Pw_ratio,Pwd_ratio,Pww_ratio
1.9358064350328963,1.3220613605837475,0.9363441746867185,0.9375435902866762,1,1,1
1.6689800061677644,0.9503896006829001,0.8609925632380852,1.0954547466809486,1,1,1
2.174723735608552,1.1014731828199011,0.8655832338368408,1.1617074843899124,1,1,1
0.7982743112664501,1.0131992862810848,1.1375667483123721,1.0775534477580966,1,1,1
1.0606573807565773,1.157313063442399,1.013771814028029,0.7282241531428454,1,1,1
1.3391961348684198,0.9591607459777803,1.1438319367285965,1.624528702637204,1,1,1
1.4071944387335513,1.0449971937377787,1.0144542556226974,1.510688490322575,1,1,1
1.3658999794407904,0.8047701950724699,0.7083667461174555,0.5280713308867319,1,1,1
1.3756450452302644,0.5893758826958825,0.9609761145468771,0.42647903685403277,1,1,1
0.8213918585526301,0.7994809221089378,0.6259517972330209,0.3589814291498671,1,1,1
1.1238371196546062,0.623193067503566,0.8677402587597813,0.7501029855949276,1,1,1
1.2078985916940788,0.929249348505442,1.1528830913410613,2.089081286642223,1,1,1
