,Discharge
2040-01-05,26.023765840279577
2040-01-15,0.4743710419046434
2040-01-25,0.007909086713892467
2040-02-05,0.00010560610527937873
2040-02-15,21.16701788645965
2040-02-25,23.105273239010636
2040-03-05,26.993493894658275
2040-03-15,2.491951021078056
2040-03-25,2.3528103496690127
2040-04-05,2.1946645311797983
2040-04-15,0.8849967031005221
2040-04-25,0.3232259024933072
2040-05-05,48.837399974856794
2040-05-15,12.053260639437667
2040-05-25,43.41150242559406
2040-06-05,40.95717590534157
2040-06-15,5.858106346436287
2040-06-25,0.10678377711368665
2040-07-05,0.0019464950583565714
2040-07-15,35.86283116426462
2040-07-25,2.0681769813914332
2040-08-05,98.14430599406445
2040-08-15,400.2844265843343
2040-08-25,6.833715184909431
2040-09-05,0.09124720354869614
2040-09-15,1676.2379883397
2040-09-25,12.477879300639021
2040-10-05,33.62529349180611
2040-10-15,39.48573137359615
2040-10-25,54.26132952149106
2040-11-05,1.7822578591595248
2040-11-15,0.03248767003135471
2040-11-25,0.0005921975311495667
2040-12-05,1.079480047541649e-05
2040-12-15,1.9677170399182502e-07
2040-12-25,248.96875507154573
2041-01-05,122.71309264604524
2041-01-15,3.9969680645442254
2041-01-25,0.06664059190504683
2041-02-05,50.32089556502275
2041-02-15,12.467578434593088
2041-02-25,40.29214217878577
2041-03-05,75.65886956045941
2041-03-15,102.18173979848467
2041-03-25,36.67763249583981
2041-04-05,12.497951732607707
2041-04-15,49.584537475915496
2041-04-25,7.920284493353277
2041-05-05,0.14437393997289444
2041-05-15,3.9286728637628565
2041-05-25,4.390205288497004
2041-06-05,64.24707302171127
2041-06-15,134.28807391857063
2041-06-25,71.34383370720295
2041-07-05,105.325546544018
2041-07-15,8.214475219068692
2041-07-25,41.18194810703725
2041-08-05,8.099040708908316
2041-08-15,48.82278023319451
2041-08-25,55.739594713726795
2041-09-05,142.6393607968466
2041-09-15,13.199818866077731
2041-09-25,0.2406112884232206
2041-10-05,0.0043859535273975386
2041-10-15,7.994881898747384e-05
2041-10-25,1.3329695242491848e-06
2041-11-05,1.779847977451024e-08
2041-11-15,3.2443741796527187e-10
2041-11-25,5.913967906782584e-12
2041-12-05,1.0780204275389139e-13
2041-12-15,1.9650563893969847e-15
2041-12-25,3.276296402711985e-17
2042-01-05,4.374675804521161e-19
2042-01-15,7.974324439139064e-21
2042-01-25,1.3295420230676894e-22
2042-02-05,3017.3501537984566
2042-02-15,333.9036793031571
2042-02-25,7.565029642132022
2042-03-05,21.008089858128404
2042-03-15,2.284171570289259
2042-03-25,9.65166672832625
2042-04-05,46.08696818474803
2042-04-15,78.73037475716833
2042-04-25,2.1552169917493247
2042-05-05,32.10075445051753
2042-05-15,34.06431422438352
2042-05-25,45.04849852525737
2042-06-05,48.795947435939134
2042-06-15,21.058199715842978
2042-06-25,68.68859033112369
2042-07-05,37.17982301250277
2042-07-15,126.96378196723586
2042-07-25,64.50082789934139
2042-08-05,214.18668739759352
2042-08-15,32.69061285956518
2042-08-25,34.624718050568845
2042-09-05,15.531789373578524
2042-09-15,73.20842243127225
2042-09-25,53.81887569204057
2042-10-05,24.82928260502132
2042-10-15,203.7803243484415
2042-10-25,59.37226007517072
2042-11-05,12.699628158075786
2042-11-15,0.23149362310290583
2042-11-25,40.74457242388367
2042-12-05,7.204174478082446
2042-12-15,0.850097682933832
2042-12-25,1.3126556385448696
2043-01-05,0.017527238551607097
2043-01-15,0.0003194931304126648
2043-01-25,5.326840489210699e-06
2043-02-05,2.1322540307302176
2043-02-15,3.270854769141632
2043-02-25,6.205370982743391
2043-03-05,7.042347716582995
2043-03-15,46.52115087880008
2043-03-25,20.76466775831971
2043-04-05,6.502237038758618
2043-04-15,0.16313615641678697
2043-04-25,10.008852527521835
2043-05-05,31.10031071511633
2043-05-15,8.899863285719979
2043-05-25,25.27133050033965
2043-06-05,62.49548553717237
