,Discharge
2040-01-05,26.023765840279577
2040-01-15,0.4743710419046434
2040-01-25,0.007909086713892467
2040-02-05,0.00010560610527937873
2040-02-15,94.67595548101255
2040-02-25,4.554016932994985
2040-03-05,0.1513898901495864
2040-03-15,81.65560995144155
2040-03-25,15.412776995823743
2040-04-05,9.855558437967499
2040-04-15,30.239802815816006
2040-04-25,138.1061727042135
2040-05-05,63.917155574563296
2040-05-15,39.13920043854866
2040-05-25,43.57804936298274
2040-06-05,19.638396503531446
2040-06-15,3.0490751345166514
2040-06-25,0.3547774140948988
2040-07-05,122.48751840619227
2040-07-15,21.076176449553778
2040-07-25,36.3637859491243
2040-08-05,59.320750483628714
2040-08-15,1.0813210657594057
2040-08-25,0.0180286343793492
2040-09-05,10.320487636126156
2040-09-15,0.5066762488642119
2040-09-25,0.009235886210981616
2040-10-05,0.00016835522543915614
2040-10-15,42.11352746240648
2040-10-25,19.900125620967128
2040-11-05,9.697097112645817
2040-11-15,0.19402784661810799
2040-11-25,0.003536812939512578
2040-12-05,6.447036333771366e-05
2040-12-15,1.1751901556517238e-06
2040-12-25,1.9593693596985322e-08
2041-01-05,6.301446203792346
2041-01-15,0.17302278063905457
2041-01-25,0.0028847717391403474
2041-02-05,3.851892374065252e-05
2041-02-15,7.021375038510774e-07
2041-02-25,1.5633866057906954e-08
2041-03-05,5.197190304611648e-10
2041-03-15,9.473634964695993e-12
2041-03-25,48.205044444957295
2041-04-05,83.9043252617626
2041-04-15,10.735687270078895
2041-04-25,0.19569416613744892
2041-05-05,6.207158569563738
2041-05-15,1.5742332178545386
2041-05-25,25.95698878113943
2041-06-05,80.10538536303527
2041-06-15,59.601837734878984
2041-06-25,57.39734259958906
2041-07-05,182.38470788695636
2041-07-15,89.77934987878295
2041-07-25,2.2476987853254182
2041-08-05,0.030012405116568185
2041-08-15,0.0005470774665200317
2041-08-25,9.121305348974714e-06
2041-09-05,1.2179225842563958e-07
2041-09-15,2.220075329599936e-09
2041-09-25,67.82863303088084
2041-10-05,29.546626014527067
2041-10-15,0.5385870689623247
2041-10-25,10.044330259523111
2041-11-05,4.661727502249728
2041-11-15,0.08497573125619459
2041-11-25,0.0015489697540322224
2041-12-05,2.823520625757177e-05
2041-12-15,5.146820138561828e-07
2041-12-25,8.581182909743519e-09
2042-01-05,1.1458027185315553e-10
2042-01-15,2.0886125118975005e-12
2042-01-25,43.30804006912563
2042-02-05,1.9795818388573825
2042-02-15,0.03608456613073331
2042-02-25,0.0008034626701342309
2042-03-05,105.5742861564543
2042-03-15,158.66906032830582
2042-03-25,68.02071639144843
2042-04-05,0.9691910731630144
2042-04-15,0.017666781279956342
2042-04-25,0.0003220367680185177
2042-05-05,5.870207951998195e-06
2042-05-15,7.183592795711938
2042-05-25,1.2777029359031953
2042-06-05,45.95140787889344
2042-06-15,31.552288666451158
2042-06-25,96.3510012395596
2042-07-05,27.042558983265984
2042-07-15,0.4929419884651806
2042-07-25,36.56813887649388
2042-08-05,7.084876589262334
2042-08-15,11.342031247131336
2042-08-25,0.9844095293583259
2042-09-05,9.319165387648873
2042-09-15,40.43143153758096
2042-09-25,8.296947918382392
2042-10-05,0.15123990328024464
2042-10-15,0.0027568581325598165
2042-10-25,4.5964504790952774e-05
2042-11-05,6.137411951169388e-07
2042-11-15,1.1187506526699346e-08
2042-11-25,2.0393009835537135e-10
2042-12-05,3.717314927681298e-12
2042-12-15,6.776062181602066e-14
2042-12-25,32.81685683644685
2043-01-05,22.53844914770308
2043-01-15,0.41083937162400597
2043-01-25,0.006849836791488909
2043-02-05,9.14624673513694e-05
2043-02-15,3.417854046237612
2043-02-25,8.839564479849686
2043-03-05,7.686898625740828
2043-03-15,0.20831113563302353
2043-03-25,33.394007558723075
2043-04-05,8.902412625092335
2043-04-15,0.1622765428473719
2043-04-25,0.0029580381709415323
2043-05-05,7.8366764810203
