-,baseline,3.269488574729227,3.269488574729227,3.269488574729227
Amon_HadGEM3-GC31-LL,ssp126,7.136645884029346,6.432948269017051,5.503770572668275
Amon_HadGEM3-GC31-LL,ssp245,6.225900501942059,6.880959169209268,6.391894462236907
Amon_HadGEM3-GC31-LL,ssp585,7.875081384799145,8.8680815133465,8.463309118157472
Amon_MIROC6,ssp119,4.239218281464181,2.8530047427955614,3.0588091803950195
Amon_MIROC6,ssp126,2.090604628372043,2.7055925901870683,5.970607556841509
Amon_MIROC6,ssp245,3.672186741962032,3.365639655121374,4.532082782744438
Amon_MIROC6,ssp585,4.907400957203107,6.715332481470187,3.1542226792939334
Amon_CAMS-CSM1-0,ssp119,2.8170608990029087,2.4364477701261507,2.6882263433838935
Amon_CAMS-CSM1-0,ssp126,2.2804343692933604,2.8107038454334066,2.1031305364934694
Amon_CAMS-CSM1-0,ssp245,2.0430580948632207,3.6625792703149687,3.309923089105819
Amon_CAMS-CSM1-0,ssp585,3.815429954476106,2.5851977557512766,2.101374112746177
