-,baseline,3930.8606467676827,3930.8606467676827,3930.8606467676827
Amon_HadGEM3-GC31-LL,ssp126,6315.507039785031,5915.501748359038,5500.6403781869685
Amon_HadGEM3-GC31-LL,ssp245,5782.242290529669,6129.236811806503,6412.162165125093
Amon_HadGEM3-GC31-LL,ssp585,6923.753823382894,7185.032760091522,7065.614286666794
Amon_MIROC6,ssp119,4766.358874070405,3333.517197291789,3496.179439429798
Amon_MIROC6,ssp126,3079.4626731959393,3375.742165400386,5758.393047053271
Amon_MIROC6,ssp245,4452.53192297412,4237.7629220411945,4828.425285765488
Amon_MIROC6,ssp585,5157.4566454082615,5720.573455106579,3787.8486932634573
Amon_CAMS-CSM1-0,ssp119,3778.4167497671583,3292.702206884737,3773.0451761048844
Amon_CAMS-CSM1-0,ssp126,3482.203661250765,3639.0916809008945,3242.5498055670214
Amon_CAMS-CSM1-0,ssp245,3040.0145410903306,4730.7620011345925,4576.283877263487
Amon_CAMS-CSM1-0,ssp585,4403.819515573483,4087.670161467823,3530.6617562187357
