Year, SI_Public, SI_AgriTao, SI_AgriShi
2020,0.0,0.008397897581639982,0.00030313188932393084
2021,0.0,0.2404637743720681,0.13527734204656955
2022,0.1348223740055987,7.7071886260351,7.169523069389042
2023,0.0,0.06849975740033343,0.018600509542126095
2024,0.0,0.0019061245582787162,0.00011841089426716341
2025,0.0,0.029527308842765304,0.010611721208901968
2026,0.0,1.3012165451098312e-33,1.265915482466153e-31
2027,0.05407814655825091,2.119863079314397,1.7749317861438487
2028,0.0,0.0013947783281191665,1.265915482466153e-31
2029,0.0,0.03272951694644747,0.0022924349130121675
