Year, SI_Public, SI_AgriTao, SI_AgriShi
2030,0.0,0.0019815757943048053,0.00048125218749066865
2031,0.0,0.34850584918655864,0.24541320643164374
2032,0.0,0.058710788897285815,0.028585423261122525
2033,0.0,0.014581632543636902,0.0022924349130121675
2034,0.0,0.0019306184544557047,0.00021050825647495367
2035,0.0,1.2019157182335787,0.7656300781243526
2036,0.0,0.09565569212126568,0.02593672228027787
2037,0.4881131552589706,6.274153651964598,4.547384188695007
2038,0.0,0.006970248671185217,0.009733901779401442
2039,0.0,0.11967390000563041,0.1038216751263396
