Year, SI_Public, SI_AgriTao, SI_AgriShi
2030,0.0,0.3253706403697351,0.17135750170939873
2031,0.00665296903251427,0.067220931027753,0.005475319750913327
2032,0.0,0.29520909621882385,0.12947099806234935
2033,0.0,1.3012165451098312e-33,1.265915482466153e-31
2034,0.0,0.22841171151383255,0.170985331321773
2035,0.0,0.006036726147667636,5.2627064118741e-05
2036,0.0,1.7878125026966043,1.1454954740232444
2037,0.0,0.14202525256067375,0.08420330258997753
2038,0.0,0.12581542880706606,0.034878772833991024
2039,0.0,0.651943335463033,0.44947286412609305
