Year, SI_Public, SI_AgriTao, SI_AgriShi
2020,0.0,0.45802074129542536,0.2729399666197849
2021,0.15623610795653697,4.000831874327341,2.985832950538855
2022,0.0,0.01766832100902575,0.01705116877447049
2023,0.0,0.4379085566730962,0.316907549627639
2024,0.0,0.18559993632590524,0.09516502408845798
2025,0.0,0.06805050087458167,0.066323257555637
2026,0.0,0.20680826763034735,0.09027041662402155
2027,0.0,0.00646349533843788,0.009169739652048592
2028,0.0,0.08306636118066818,0.04927787775821964
2029,0.0,0.0575243354897921,0.014196033503438473
