Year, SI_Public, SI_AgriTao, SI_AgriShi
2050,0.0,0.00011756196105895216,1.265915482466153e-31
2051,0.0,0.00029840960786230457,0.0002598347616404199
2052,0.0,0.2175274238991465,0.17713513299896042
2053,0.0,0.015632809431886968,0.009286816766002735
2054,0.0,0.005908145374478183,0.00017051168774471343
2055,0.0,1.3062440117661528e-05,1.265915482466153e-31
2056,0.0,0.00015362053498955356,1.265915482466153e-31
2057,0.0,0.09156405531205386,0.08717620544204492
2058,0.0,1.5374468545515345,1.3216431849954124
2059,0.0,0.0002844709181179577,1.265915482466153e-31
