Year, SI_Public, SI_AgriTao, SI_AgriShi
2030,0.0,1.3012165451098312e-33,1.265915482466153e-31
2031,0.0,1.3012165451098312e-33,1.265915482466153e-31
2032,0.0,0.04572761155078499,0.010022298090772123
2033,0.0,0.0029770683944785304,1.265915482466153e-31
2034,0.0,0.06245253855700966,0.019806721851727514
2035,0.0,0.0003195747991680914,1.8945743082748e-05
2036,0.0,0.11967390000563041,0.1038216751263396
2037,0.0,1.3012165451098312e-33,1.265915482466153e-31
2038,0.0,0.0018792501214226034,5.2627064118741e-05
2039,0.0,0.07268547993452147,0.0232085352763626
