Year, SI_Public, SI_AgriTao, SI_AgriShi
2050,0.0,1.3012165451098312e-33,1.265915482466153e-31
2051,0.0,0.03360931147193167,0.009483595673990382
2052,0.0,0.04293769204898786,0.02801429057387302
2053,0.0,0.05203396698888837,0.032409527826200456
2054,0.0,0.18342987173535766,0.11213488531191448
2055,0.0,1.3012165451098312e-33,1.265915482466153e-31
2056,0.0,0.3142818840053563,0.23635573672700447
2057,0.0,0.006094412061296042,0.00017051168774471343
2058,0.0,0.32295327911802285,0.19990408325008596
2059,0.0,0.018995581761139465,0.008893973836066422
