Year, SI_Public, SI_AgriTao, SI_AgriShi
2020,0.0,0.017508548014623614,0.02001144113114939
2021,0.0,0.0016358243095712737,1.265915482466153e-31
2022,0.0,0.4149273749783636,0.19990408325008596
2023,0.0,0.7736753132466164,0.5511021016554772
2024,0.0,0.015525322786126991,0.001315676602968422
2025,0.0,0.24135731647149158,0.13921177419937425
2026,0.0,0.06004157381163786,0.023759935551174935
2027,0.0,0.07984212808776826,0.0667574022054937
2028,0.0,1.3012165451098312e-33,1.265915482466153e-31
2029,0.0,0.017540444558214633,0.001534605189702365
