Year, SI_Public, SI_AgriTao, SI_AgriShi
2040,0.0,0.22968016475748546,0.18959639174822182
2041,0.0,1.3012165451098312e-33,1.265915482466153e-31
2042,0.0,0.09071138970598097,0.0776664452758408
2043,0.0,0.20593710956334643,0.16978753934243057
2044,0.16973025619140622,5.234329372608609,4.296341696828987
2045,0.0,0.020583740099244976,0.01624253414651002
2046,0.0,0.16734143312852467,0.1387357998748899
2047,0.0,0.014081496797703581,0.008992764518797089
2048,0.0,0.01206002165407824,0.009551537634784182
2049,0.0,0.0017694869209079734,0.0013283374115458514
