Year, SI_Public, SI_AgriTao, SI_AgriShi
2050,0.0,0.002016732384649733,4.736435770687774e-06
2051,0.0,0.2891684449179669,0.15203156282225821
2052,0.0,0.05361321261454599,0.008091937378896887
2053,0.0,0.09840576063324097,0.04492112815144003
2054,0.0,0.10617586797910149,0.028934817918447178
2055,0.0,0.11342641919826853,0.03448967274085485
2056,0.02048376914257753,2.227348227258375,1.6214328031565977
2057,0.0,0.38476631265445044,0.20214184664279242
2058,0.04834554735480076,1.8876385819765715,1.1051957213063994
2059,0.0,0.09259245878351484,0.02593672228027787
