Year, SI_Public, SI_AgriTao, SI_AgriShi
2040,0.0,0.07725733803675393,0.02593672228027787
2041,0.3520886709774905,3.6496097780180836,2.632699663899056
2042,0.0,5.224976047064558e-05,1.265915482466153e-31
2043,0.0,0.005080845727865006,0.00011841089426716341
2044,0.3726322286279477,8.331007669335657,6.520334546474062
2045,0.0,0.04058539564815596,0.013257830201584636
2046,0.0,0.00018493574922681837,1.265915482466153e-31
2047,0.0,0.012080610675775358,0.0022924349130121675
2048,0.014062869606713666,0.3513800882628408,0.16517996493789594
2049,0.8729317047999204,3.5413141707838247,2.402546776929871
