Year, SI_Public, SI_AgriTao, SI_AgriShi
2040,0.0,0.09432678930469027,0.06379209870148504
2041,0.019151590079781133,1.6575460847574461,1.2008546925442958
2042,0.0,0.0054822198308171685,0.00047364357706863815
2043,0.0,0.011454336394226617,0.0006083688612126039
2044,0.0,0.5052229845724501,0.2407207921475516
2045,0.0,0.020833015027160576,0.000842033025899794
2046,0.0,0.6172582943515134,0.3598273067380635
2047,0.06844265423778632,2.7813273666015728,1.8616691286562193
2048,0.03459836460795537,2.1665964862854414,1.3999746722083484
2049,0.012217899546990778,1.9142320552560974,1.4318218461669074
