Year, SI_Public, SI_AgriTao, SI_AgriShi
2040,0.0,0.28910606389230803,0.23214245607530978
2041,0.0,0.9438062332950305,0.62086439217956
2042,0.2737706169511453,6.344708974898879,4.683490078646773
2043,0.0,0.08627328378747083,0.06820467509788179
2044,0.0,0.28353675128115713,0.18453862417588157
2045,0.0,1.3012165451098312e-33,1.265915482466153e-31
2046,0.0,0.3320902865346647,0.21972996303721865
2047,0.0,0.001137883672471828,1.265915482466153e-31
2048,0.0,0.0013312691717500325,1.265915482466153e-31
2049,0.0,0.09467107115215308,0.04615959032593342
