Year, SI_Public, SI_AgriTao, SI_AgriShi
2020,0.0,0.001390282671645338,0.00048125218749066865
2021,0.05110760435559385,3.6884082219556675,2.7781408179134366
2022,0.0,0.16508574224237482,0.05661830066150091
2023,0.0,0.07634477016778327,0.03667895860819426
2024,0.0,0.12432301405396927,0.04085391854738852
2025,0.0,0.060780742536395836,0.020631914217109297
2026,0.0,0.11284210634594288,0.08420330258997753
2027,0.0,0.034920024043721354,0.0232085352763626
2028,0.0,1.3012165451098312e-33,1.265915482466153e-31
2029,0.0,0.526401382589421,0.3334534985865696
