Year, SI_Public, SI_AgriTao, SI_AgriShi
2030,0.0,0.27960565304724916,0.36484031351881296
2031,0.0,0.06002954773110488,0.023791256022114547
2032,0.0,0.0001451382235295704,1.265915482466153e-31
2033,0.0,0.13645322701757273,0.08001292860471941
2034,0.0,0.0004194494660004576,1.265915482466153e-31
2035,0.0,0.09520404290916516,0.09640436113526521
2036,0.0,1.3012165451098312e-33,1.265915482466153e-31
2037,0.0,0.04695471415898711,0.012114201996633208
2038,0.0,0.039208474025084476,0.029850168443978094
2039,0.0,0.058710788897285815,0.028585423261122525
