Year, SI_Public, SI_AgriTao, SI_AgriShi
2040,0.0,0.6722621264866749,0.4170088702356455
2041,9.358118846354569e-06,0.4319745236194968,0.24971615973458133
2042,0.0902241299348596,2.7831673846456564,2.9093374621256727
2043,0.0,1.3012165451098312e-33,1.265915482466153e-31
2044,0.0,1.4293232605747455,1.1561104317965893
2045,0.0,0.0721891070625747,0.010912748015661134
2046,0.0,0.14953807296794666,0.049277877758219665
2047,0.19115675406004762,7.868991602573355,7.399245447355198
2048,0.0,0.026086957230161176,0.010912748015661134
2049,0.0,0.8031883623591421,0.537827147870278
