Year, SI_Public, SI_AgriTao, SI_AgriShi
2030,0.0,0.008684253171784583,0.00030313188932393084
2031,0.0,0.013239878027157686,0.00023208535276363591
2032,0.0,0.08086536576844279,0.04251865636260332
2033,0.2441966305521018,6.4435875311017865,5.193989473088735
2034,0.0,0.0029029031715614747,0.0014230358137706435
2035,0.010535065584102204,2.112964145633665,1.3678956125170882
2036,0.0,0.07465546405607347,0.050574608618105324
2037,0.0,0.023955686581097462,0.0037133656442180436
2038,0.0,0.035308074235126635,0.02646277062474639
2039,0.0,0.04657282933142653,0.023876372720029362
