Year, SI_Public, SI_AgriTao, SI_AgriShi
2030,0.0,0.0378662150912158,0.02459007233448479
2031,0.0,0.24074611222118952,0.12580118994452813
2032,0.0,0.1020857757043606,0.03951029465778224
2033,0.8230786049980494,9.06306914532464,6.383021548200679
2034,0.0,0.0006400595657654036,1.265915482466153e-31
2035,0.0,0.0180835267050434,0.012481034526399457
2036,0.0,0.0013062440117661293,1.265915482466153e-31
2037,0.0,0.3548164884868393,0.2549339189214157
2038,0.0,0.24447839733001453,0.10475877368086349
2039,0.048965752950463966,2.2293763615414335,1.7572658647763417
