,very low/low,low/slightly low,slightly low/proper,proper/slightly high,slightly high/high,high/very high
AirTC_Avg,10,15,17,22,27,32
RH,-,20,50,65,80,95
PAR_Avg,-,-,0,100,-,-
VW_F_Avg,40,50,75,85,95,100
WS_ms_Avg,-,-,0,10,20,25
Water_Demand,-,-,0,0,-,-
