T_avg_delta,T_std_ratio,P_avg_ratio,P_std_ratio,Pw_ratio,Pwd_ratio,Pww_ratio
0.3009783293071564,0.9036207075609884,0.5899185262072786,0.5585474730460173,1,1,1
1.0594628585012345,0.8554489540156209,0.8653941827107269,0.9431609988423137,1,1,1
0.9067225406044415,1.1052743104764984,1.1170800416535658,1.4160775510703094,1,1,1
0.8091063650030819,0.7918480715303067,1.1449241928925833,0.8574962388334628,1,1,1
0.9170089721679702,0.7996713694797603,0.9716096833765754,1.157589465475614,1,1,1
0.48224993254009263,0.9508089815733897,0.9738122323639485,1.2779648182303158,1,1,1
0.8720762553967951,0.8134424986847417,0.8341034088269172,0.8164218175342005,1,1,1
0.9238953439812931,1.1582356919147692,0.9222314161688377,0.9045721313488361,1,1,1
0.8843477751079369,0.6224293080417175,1.1168046450379605,1.4580127763604938,1,1,1
0.6304273906506985,0.7908569605869237,1.2182838087818084,1.0341077607207032,1,1,1
0.6025470131321988,1.1340768320154395,1.4954549528036287,1.059429110446246,1,1,1
0.25395146420127546,1.325736207386969,1.6195418870250784,1.5789454618544554,1,1,1
