T_avg_delta,T_std_ratio,P_avg_ratio,P_std_ratio,Pw_ratio,Pwd_ratio,Pww_ratio
0.47460688540810025,0.881077586487037,0.8369986696860345,1.0339210121357054,1,1,1
-0.12448738499691814,1.0479749258659066,0.985697806680109,0.9365410562584502,1,1,1
0.6123185810289868,0.8837436402185008,1.054814446993771,0.8595341286397057,1,1,1
0.411824758429276,0.95081205803655,1.1264931263562434,1.2120936297342824,1,1,1
0.29440564607319075,0.880453636531136,1.0282906693414182,1.4405575958315282,1,1,1
0.12480806049547866,0.9813875025152912,0.9085094872354997,1.0623988357794942,1,1,1
0.22452826248972002,0.7199027752761936,1.0786804359386728,0.9061191905929985,1,1,1
0.5692300896895581,0.6276370200083957,1.0394827666289077,0.9594918539061673,1,1,1
0.706959373072575,1.106124208385464,1.4867756093961018,2.218327663438885,1,1,1
0.4922635530170645,0.8249302003212593,1.5463316459148837,2.412098382922928,1,1,1
0.2149951332493849,0.7612191000034915,1.1505154146671792,1.3304592182257307,1,1,1
0.6253500687448614,1.041743172742576,1.11519021022947,1.6952780774972622,1,1,1
