T_avg_delta,T_std_ratio,P_avg_ratio,P_std_ratio,Pw_ratio,Pwd_ratio,Pww_ratio
1.6832185444078949,1.1454574104687756,1.2020754294012925,0.9980309368062003,1,1,1
1.2867046155427637,0.8687536106369049,1.1548638415800558,1.5501553595319462,1,1,1
2.0319991262335506,1.4059019414319665,0.6550189879313941,0.9507093190319601,1,1,1
1.3935379831414494,1.0854579130657835,0.8657774493767428,0.7759213875384905,1,1,1
1.323670076069078,0.8782124887582496,0.9213144430217148,0.7665809837692694,1,1,1
0.9234734786184227,1.2065558041683822,1.2037104956071574,1.9860751077518657,1,1,1
1.51849814967105,1.010690633742917,0.6176604875466756,0.7622016770145806,1,1,1
1.2462222450657912,0.780573532781149,0.7462445651688066,0.8493649464592427,1,1,1
1.5691997327302651,0.6543683938470546,1.5984822968274979,1.9946324677251361,1,1,1
0.8461233038651308,0.8361017002857705,0.8614552781220797,0.7006760322344376,1,1,1
0.8263029399671069,0.31227399061997346,0.953545994079345,1.296425230605918,1,1,1
0.903992341694078,1.0106050902128865,0.9361575201998759,1.5952676126376497,1,1,1
